# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	1393466
#@/user_id	jysperm
a 	ㄚ	c=1 d=5.42744e-76 t=1393466
ti a du 	提啊讀	c=3 d=1.27968e-254 t=1393466
ti a duo 	提啊多	c=9 d=4.45876e-116 t=1393466
ti a fu za 	提啊複雜	c=1 d=1 t=1352183
ti an 	提案	c=11 d=9.02962e-07 t=1393466
ti an jiu 	提案就	c=1 d=9.07488e-06 t=1393466
ti ben 	題本	c=1 d=4.31819e-239 t=1393466
ti bi 	提筆	c=2 d=1.40395e-21 t=1393466
ti bu qi 	提不起	c=2 d=3.86531e-24 t=1393466
ti cai 	題材	c=10 d=6.59287e-41 t=1393466
ti cao 	體操	c=1 d=9.26046e-97 t=1393466
ti chang 	提倡	c=1 d=1 t=1318989
ti che 	提車	c=1 d=1.68016e-222 t=1393466
ti cheng 	提成	c=3 d=0 t=1393466
ti chu 	剔除	c=13 d=7.38526e-30 t=1393466
ti chu 	提出	c=75 d=0.458406 t=1393466
ti chu lai 	提出來	c=12 d=3.20616e-89 t=1393466
ti chu qu 	提出去	c=1 d=7.77319e-08 t=1393466
ti chu qu 	踢出去	c=1 d=0 t=1393466
ti chu shen qing 	提出申請	c=1 d=0 t=1393466
ti chu zhe 	提出者	c=1 d=2.58835e-12 t=1393466
ti da 	踢打	c=2 d=7.1052e-186 t=1393466
ti dai 	替代	c=118 d=0.000250714 t=1393466
ti dai ba 	替代吧	c=1 d=0 t=1393466
ti dai diao 	替代掉	c=3 d=0.00240549 t=1393466
ti dai pin 	替代品	c=2 d=6.8461e-102 t=1393466
ti dao 	提到	c=244 d=0.0925506 t=1393466
ti dao guo 	提到過	c=9 d=2.12422e-40 t=1393466
ti dao le 	提到了	c=1 d=1.32909e-141 t=1393466
ti dao wo 	提到我	c=1 d=0.0010333 t=1393466
ti dia 	提嗲	c=2 d=0 t=1393466
ti dian 	提點	c=2 d=2.08515e-145 t=1393466
ti diao 	踢掉	c=6 d=2.44426e-44 t=1393466
ti dong 	提懂	c=1 d=1.48628e-250 t=1393466
ti dou 	提都	c=1 d=0 t=1393466
ti du 	梯度	c=5 d=3.30844e-06 t=1393466
ti dui 	梯隊	c=1 d=3.25372e-27 t=1393466
ti ei 	提誒	c=1 d=3.1667e-61 t=1393466
ti ei zai 	提誒在	c=1 d=0 t=1393466
ti gan you xi 	體感遊戲	c=1 d=1.33032e-240 t=1393466
ti gang 	提綱	c=21 d=9.64096e-12 t=1393466
ti gang wai 	提綱外	c=1 d=8.42873e-225 t=1393466
ti gao 	提高	c=174 d=0.000558643 t=1393466
ti gao dao 	提高到	c=1 d=0 t=1393466
ti gao de 	提高得	c=1 d=0 t=1393466
ti gao dian 	提高點	c=1 d=1.36972e-201 t=1393466
ti gao le 	提高了	c=1 d=0 t=1393466
ti gong 	提供	c=1902 d=1.00071 t=1393466
ti gong bu liao 	提供不了	c=1 d=1 t=1352647
ti gong de 	提供的	c=1 d=2.77889e-171 t=1393466
ti gong fang 	提供方	c=1 d=1.54056e-84 t=1393466
ti gong fei 	提供非	c=3 d=0 t=1393466
ti gong fu wu 	提供服務	c=1 d=0 t=1393466
ti gong gei 	提供給	c=4 d=1.12138e-83 t=1393466
ti gong guo 	提供過	c=1 d=3.53641e-301 t=1393466
ti gong le 	提供了	c=5 d=8.01265e-12 t=1393466
ti gong me 	提供麼	c=1 d=3.97896e-12 t=1393466
ti gong shang 	提供商	c=29 d=6.46033e-08 t=1393466
ti gong te bie 	提供特別	c=1 d=0 t=1393466
ti gong xia 	提供下	c=1 d=1.38248e-75 t=1393466
ti gong zhe 	提供者	c=5 d=0 t=1393466
ti gu tou 	剔骨頭	c=1 d=6.58465e-232 t=1393466
ti guan 	踢館	c=2 d=2.74236e-133 t=1393466
ti guo 	提過	c=53 d=1.97966e-05 t=1393466
ti guo le 	提過了	c=1 d=0 t=1393466
ti huan 	替換	c=72 d=3.96666e-05 t=1393466
ti huan cheng 	替換成	c=19 d=1.09548e-14 t=1393466
ti huan dia 	替換嗲	c=1 d=1.74125e-201 t=1393466
ti huan diao 	提換掉	c=1 d=2.81654e-06 t=1393466
ti huan diao 	替換掉	c=36 d=0.140858 t=1393466
ti huan hao 	替換好	c=1 d=0 t=1393466
ti huan hou 	替換後	c=1 d=1 t=1322899
ti huan shi 	替換式	c=1 d=0 t=1393466
ti huan wei 	替換爲	c=6 d=1.07397e-16 t=1393466
ti huan zong 	替換總	c=1 d=1.69842e-114 t=1393466
ti hui 	體會	c=11 d=0.2334 t=1393466
ti hui dao 	體會到	c=1 d=5.12497e-166 t=1393466
ti hui de 	體會得	c=1 d=1 t=1392105
ti hui guo 	體會過	c=1 d=0 t=1393466
ti ji 	提及	c=9 d=4.68353e-77 t=1393466
ti ji 	體積	c=102 d=0.504989 t=1393466
ti ji da 	體積大	c=1 d=0 t=1393466
ti ji xiao 	體積小	c=1 d=0 t=1393466
ti jia 	提價	c=4 d=2.09288e-71 t=1393466
ti jian 	體檢	c=7 d=5.74993e-24 t=1393466
ti jian jing ran na 	體檢竟然那	c=1 d=5.34971e-24 t=1393466
ti jian yi 	提建議	c=1 d=5.66489e-21 t=1393466
ti jiao 	提交	c=202 d=0.0439369 t=1393466
ti jiao ao 	提交奧	c=1 d=0 t=1393466
ti jiao dao 	提交到	c=3 d=0 t=1393466
ti jiao gei 	提交給	c=1 d=3.4494e-67 t=1393466
ti jiao hou 	提交後	c=1 d=0 t=1393466
ti jiao xian 	踢腳線	c=1 d=2.52739e-202 t=1393466
ti ku 	題庫	c=3 d=1.24113e-12 t=1393466
ti la mi su 	提拉米蘇	c=3 d=3.11587e-63 t=1393466
ti le 	剃了	c=1 d=4.3016e-135 t=1393466
ti le 	提了	c=18 d=1.82398e-12 t=1393466
ti le ge 	提了個	c=1 d=1.54478e-263 t=1393466
ti lei jiao liu 	涕淚交流	c=1 d=3.66573e-253 t=1393466
ti li 	體力	c=2 d=3.02172e-186 t=1393466
ti li bu zhi 	體力不支	c=1 d=0 t=1393466
ti li huo 	體力活	c=5 d=1.03615e-06 t=1393466
ti lian 	提煉	c=2 d=4.74725e-110 t=1393466
ti liang 	體諒	c=1 d=0 t=1393466
ti liang 	體量	c=14 d=2.47035e-110 t=1393466
ti liang da 	體量大	c=2 d=0 t=1393466
ti mao 	剃毛	c=1 d=0 t=1393466
ti ming 	提名	c=7 d=5.24142e-66 t=1393466
ti mu 	題目	c=32 d=2.23575e-09 t=1393466
ti mu le 	題目了	c=1 d=2.06221e-15 t=1393466
ti na 	提拿	c=0 d=3.15305e-70 t=1393466
ti na jiang 	提拿將	c=13 d=3.16886e-69 t=1393466
ti na zhe 	提拿着	c=1 d=1.15956e-212 t=1393466
ti nei 	體內	c=1 d=3.47463e-182 t=1393466
ti ni 	替你	c=2 d=1.90761e-10 t=1393466
ti ni gu dong 	提你股東	c=1 d=0 t=1393466
ti niao guo 	提尿過	c=1 d=0 t=1393466
ti o na ge 	提哦那個	c=1 d=0 t=1393466
ti ou 	提偶	c=0 d=1.06676e-26 t=1393466
ti ou gai nian gu 	提偶概念股	c=2 d=5.6753e-175 t=1393466
ti ou gong neng guan 	提偶功能關	c=5 d=1.13431e-12 t=1393466
ti qi 	提起	c=4 d=4.71652e-277 t=1393466
ti qi yi ge 	提起一個	c=1 d=0 t=1393466
ti qian 	提前	c=162 d=0.00479645 t=1393466
ti qian di 	提前地	c=1 d=1 t=1341545
ti qian gui hua 	提前規劃	c=1 d=0 t=1393466
ti qian mai 	提前買	c=1 d=0 t=1393466
ti qian shuo 	提前說	c=1 d=0 t=1393466
ti qu 	提取	c=35 d=7.81215e-08 t=1393466
ti qu wu 	提取物	c=1 d=1.95112e-40 t=1393466
ti quan 	提全	c=1 d=1.18789e-55 t=1393466
ti ran 	惕然	c=1 d=0 t=1393466
ti shang 	提上	c=2 d=0 t=1393466
ti shen 	提神	c=1 d=0 t=1393466
ti sheng 	提升	c=94 d=0.0149208 t=1393466
ti sheng fa 	提升發	c=1 d=6.49609e-161 t=1393466
ti shi 	提示	c=800 d=1.97963 t=1393466
ti shi 	體式	c=0 d=4.64276e-34 t=1393466
ti shi de 	提示的	c=1 d=0 t=1393466
ti shi fu 	提示符	c=1 d=9.04574e-262 t=1393466
ti shi he 	提示和	c=1 d=5.80444e-307 t=1393466
ti shi kuang 	提示框	c=2 d=0 t=1393466
ti shi ni 	提示你	c=1 d=0 t=1393466
ti shi shi 	提示是	c=1 d=0 t=1393466
ti shi xia 	提示下	c=3 d=1.17027e-13 t=1393466
ti su 	提速	c=1 d=5.77128e-34 t=1393466
ti ta 	替他	c=1 d=6.53749e-30 t=1393466
ti ti 	提提	c=2 d=9.60105e-22 t=1393466
ti tu 	題圖	c=4 d=0 t=1393466
ti wai 	體外	c=2 d=0 t=1393466
ti wai hua 	題外話	c=1 d=6.73909e-05 t=1393466
ti wei 	題爲	c=2 d=4.33597e-111 t=1393466
ti wen 	提問	c=52 d=1.3292e-14 t=1393466
ti wen 	體溫	c=10 d=1.18374e-32 t=1393466
ti wen gao 	體溫高	c=1 d=1.13186e-251 t=1393466
ti wen ji 	體溫計	c=5 d=0 t=1393466
ti xi 	體系	c=17 d=7.48773e-09 t=1393466
ti xian 	提現	c=23 d=1.39928e-70 t=1393466
ti xian 	體現	c=105 d=0.57609 t=1393466
ti xian bu chu lai 	體現不出來	c=2 d=4.43742e-89 t=1393466
ti xian chu 	體現出	c=7 d=0.256661 t=1393466
ti xian de 	體現的	c=1 d=1 t=1365979
ti xian wei 	體現爲	c=20 d=1.27849e-08 t=1393466
ti xian zai 	體現在	c=10 d=0.516851 t=1393466
ti xiang 	提箱	c=3 d=5.98034e-129 t=1393466
ti xing 	提醒	c=105 d=0.0437178 t=1393466
ti xing 	題型	c=1 d=1.91472e-230 t=1393466
ti xing 	體型	c=1 d=9.10775e-166 t=1393466
ti xing guo 	提醒過	c=2 d=5.77539e-64 t=1393466
ti xing ni 	提醒你	c=3 d=3.0468e-195 t=1393466
ti xing ou wen 	提醒歐文	c=1 d=2.6884e-17 t=1393466
ti xing shi xiang 	提醒事項	c=3 d=1.46972e-89 t=1393466
ti xing wo 	提醒我	c=5 d=4.04942e-42 t=1393466
ti xu dao 	剃鬚刀	c=6 d=1.65294e-130 t=1393466
ti yan 	體驗	c=242 d=0.0132999 t=1393466
ti yan ban 	體驗版	c=106 d=7.50962e-06 t=1393466
ti yan bao gao 	體驗報告	c=2 d=5.89608e-21 t=1393466
ti yan cha 	體驗差	c=1 d=0 t=1393466
ti yan dao 	體驗到	c=2 d=0.000902809 t=1393466
ti yan guo 	體驗過	c=2 d=3.88601e-28 t=1393466
ti yan jin 	體驗金	c=5 d=0.0939493 t=1393466
ti yan le 	體驗了	c=1 d=3.92084e-221 t=1393466
ti yan lei 	體驗類	c=1 d=2.55366e-206 t=1393466
ti yan mo shi 	體驗模式	c=2 d=3.99538e-31 t=1393466
ti yan qi 	體驗期	c=1 d=8.21582e-130 t=1393466
ti yan shang 	體驗上	c=1 d=0 t=1393466
ti yan shi li 	體驗實例	c=38 d=4.63565e-15 t=1393466
ti yan wan 	體驗完	c=1 d=1.55071e-73 t=1393466
ti yao 	提要	c=3 d=1.19853e-101 t=1393466
ti ye 	題葉	c=2 d=0 t=1393466
ti yi 	提議	c=15 d=0.00118265 t=1393466
ti yi jian 	提意見	c=1 d=4.54077e-07 t=1393466
ti yi ti 	提一提	c=1 d=0 t=1393466
ti yi xia 	提一下	c=2 d=1.70948e-14 t=1393466
ti yin 	蹄印	c=1 d=0 t=1393466
ti yu 	體育	c=3 d=7.77931e-76 t=1393466
ti yu zhi bo 	體育直播	c=1 d=1.12345e-134 t=1393466
ti zhe 	提着	c=1 d=2.43663e-66 t=1393466
ti zhi 	體制	c=21 d=2.64424e-28 t=1393466
ti zhi 	體質	c=10 d=6.13546e-48 t=1393466
ti zhi nei 	體制內	c=3 d=2.19425e-28 t=1393466
ti zhong 	體重	c=26 d=1.43773e-36 t=1393466
ti zhong cheng 	體重稱	c=5 d=4.46237e-114 t=1393466
ti zhu 	題主	c=2 d=3.4081e-34 t=1393466
ti zi 	提子	c=1 d=0 t=1393466
ti zi 	梯子	c=4 d=2.93199e-213 t=1393466
tian 	填	c=107 d=0.398519 t=1393466
tian 	天	c=291 d=0.625002 t=1393466
tian 	添	c=1 d=2.67955e-37 t=1393466
tian 	甜	c=6 d=3.03429e-139 t=1393466
tian 	田	c=3 d=0 t=1393466
tian 	舔	c=14 d=3.05197e-68 t=1393466
tian an 	天安	c=1 d=9.45022e-306 t=1393466
tian an men 	天安門	c=3 d=5.80307e-204 t=1393466
tian ban 	天半	c=0 d=1.56933e-38 t=1393466
tian bu 	填補	c=5 d=3.78196e-91 t=1393466
tian cai 	天才	c=1 d=0 t=1393466
tian cheng 	天成	c=1 d=1.3577e-216 t=1393466
tian chong 	填充	c=51 d=0.00657418 t=1393466
tian chuang 	天窗	c=1 d=0 t=1393466
tian cuo 	填錯	c=2 d=1.4611e-108 t=1393466
tian dao 	填到	c=9 d=3.38892e-06 t=1393466
tian de 	填的	c=1 d=0 t=1393466
tian de 	甜的	c=2 d=3.46094e-165 t=1393466
tian di 	天地	c=1 d=0 t=1393466
tian di 	天敵	c=1 d=0 t=1393466
tian dian 	甜點	c=2 d=1.22067e-191 t=1393466
tian fu 	天賦	c=3 d=6.69777e-109 t=1393466
tian ge 	填個	c=3 d=1.98709e-49 t=1393466
tian guo 	填過	c=5 d=0 t=1393466
tian hai 	填海	c=1 d=2.70201e-282 t=1393466
tian hao le 	填好了	c=2 d=2.12241e-30 t=1393466
tian he 	天河	c=1 d=0 t=1393466
tian hei 	天黑	c=6 d=0.0363653 t=1393466
tian hei zhi hou 	天黑之後	c=1 d=1.79258e-278 t=1393466
tian hua 	天花	c=1 d=3.86256e-45 t=1393466
tian hua ban 	天花板	c=2 d=0 t=1393466
tian huang 	天皇	c=1 d=6.82538e-37 t=1393466
tian ji 	天際	c=2 d=2.90272e-37 t=1393466
tian ji xian 	天際線	c=82 d=1.16002e-11 t=1393466
tian jia 	天價	c=2 d=1.65896e-14 t=1393466
tian jia 	添加	c=1263 d=6.39163 t=1393466
tian jia an 	田家庵	c=1 d=4.76515e-45 t=1393466
tian jia dao 	添加到	c=1 d=0 t=1393466
tian jia ji 	添加劑	c=7 d=1.30878e-101 t=1393466
tian jia le 	添加了	c=2 d=5.38533e-102 t=1393466
tian jia ri zhi 	添加日誌	c=1 d=0 t=1393466
tian jia wei 	添加爲	c=2 d=8.78701e-156 t=1393466
tian jian 	田間	c=2 d=1.58684e-12 t=1393466
tian jin 	天津	c=26 d=5.08344e-41 t=1393466
tian jin qu 	填進去	c=2 d=8.30694e-289 t=1393466
tian jin zhan 	天津站	c=3 d=3.50785e-278 t=1393466
tian jing di yi 	天經地義	c=1 d=2.37884e-254 t=1393466
tian kong 	天空	c=2 d=9.70249e-28 t=1393466
tian lan se 	天藍色	c=3 d=1.07782e-205 t=1393466
tian le 	填了	c=8 d=4.18996e-61 t=1393466
tian le 	添了	c=1 d=0 t=1393466
tian leng 	天冷	c=1 d=0 t=1393466
tian liang 	天亮	c=4 d=0.0380064 t=1393466
tian luan 	添亂	c=1 d=0 t=1393466
tian ma fan 	添麻煩	c=1 d=1.36408e-35 t=1393466
tian man 	填滿	c=2 d=1.76917e-06 t=1393466
tian mao 	天貓	c=63 d=0.0693633 t=1393466
tian mi 	甜蜜	c=1 d=0 t=1393466
tian mian jiang 	甜麪醬	c=1 d=1.11541e-79 t=1393466
tian nei 	天內	c=1 d=8.41637e-149 t=1393466
tian qi 	天氣	c=29 d=0.044601 t=1393466
tian qi yu bao 	天氣預報	c=2 d=3.78722e-69 t=1393466
tian qi zhi zi 	天氣之子	c=1 d=2.41879e-09 t=1393466
tian qiao 	天橋	c=3 d=0 t=1393466
tian ran 	天然	c=14 d=1.98033e-09 t=1393466
tian ran dai 	天然呆	c=1 d=0 t=1393466
tian ran di 	天然地	c=4 d=3.60867e-98 t=1393466
tian ran qi 	天然氣	c=4 d=1.0209e-08 t=1393466
tian re 	天熱	c=1 d=0 t=1393466
tian ru 	填入	c=9 d=5.87885e-16 t=1393466
tian shan 	天山	c=1 d=0 t=1393466
tian shan lu 	天山路	c=14 d=2.26758e-73 t=1393466
tian shang 	填上	c=4 d=4.07331e-23 t=1393466
tian shang 	天上	c=1 d=0 t=1393466
tian shang qu 	天上去	c=1 d=0 t=1393466
tian sheng 	天生	c=8 d=1.11822e-125 t=1393466
tian sheng di 	天生地	c=1 d=1.31302e-233 t=1393466
tian shi 	天使	c=3 d=0.201563 t=1393466
tian shi lun 	天使輪	c=3 d=0 t=1393466
tian shu 	天數	c=7 d=0.0441572 t=1393466
tian tang 	天堂	c=1 d=3.23741e-203 t=1393466
tian ti 	天梯	c=2 d=9.03893e-165 t=1393466
tian ti 	天體	c=0 d=7.65703e-214 t=1393466
tian ti tu 	天體圖	c=2 d=5.61389e-91 t=1393466
tian tian 	天天	c=150 d=0.0135267 t=1393466
tian tong 	甜筒	c=2 d=0 t=1393466
tian wai you tian 	天外有天	c=1 d=0 t=1393466
tian wan 	填完	c=3 d=3.70873e-155 t=1393466
tian wei 	甜味	c=2 d=1.92811e-165 t=1393466
tian wei ji 	甜味劑	c=1 d=0 t=1393466
tian wen shu zi 	天文數字	c=2 d=4.3571e-80 t=1393466
tian wen tai 	天文臺	c=1 d=0 t=1393466
tian wo 	天喔	c=3 d=5.47009e-144 t=1393466
tian xia 	天下	c=4 d=1.73196e-50 t=1393466
tian xian 	天線	c=7 d=7.91841e-108 t=1393466
tian xie 	填寫	c=80 d=7.98924e-07 t=1393466
tian yan 	天眼	c=6 d=1.55054e-13 t=1393466
tian yan 	甜言	c=1 d=0 t=1393466
tian yi wu feng 	天衣無縫	c=1 d=1.63377e-128 t=1393466
tian yong 	天勇	c=2 d=1.54792e-140 t=1393466
tian yu 	天宇	c=1 d=0 t=1393466
tian yuan 	田園	c=2 d=6.79437e-101 t=1393466
tian yuan mao 	田園貓	c=17 d=1.34337e-68 t=1393466
tian zhe 	舔着	c=1 d=2.31254e-245 t=1393466
tian zhen 	天真	c=1 d=1.19992e-144 t=1393466
tian zhi 	天之	c=1 d=3.12763e-62 t=1393466
tian zhi 	添置	c=7 d=1.98111e-78 t=1393466
tian zi 	天子	c=1 d=1.81817e-92 t=1393466
tiao 	挑	c=79 d=0.000286554 t=1393466
tiao 	條	c=146 d=0.00108086 t=1393466
tiao 	調	c=158 d=0.00336274 t=1393466
tiao 	跳	c=37 d=1.27497e-05 t=1393466
tiao ban 	跳板	c=8 d=3.47178e-143 t=1393466
tiao bu chu 	挑不出	c=1 d=1 t=1392296
tiao cao 	跳槽	c=14 d=0.52603 t=1393466
tiao cha 	調查	c=1 d=0 t=1393466
tiao chu 	跳出	c=5 d=1.7798e-47 t=1393466
tiao chu lai 	挑出來	c=2 d=8.17168e-166 t=1393466
tiao chu lai 	跳出來	c=2 d=0 t=1393466
tiao da 	調大	c=2 d=0.00216573 t=1393466
tiao dao 	調到	c=6 d=3.93321e-23 t=1393466
tiao dao 	跳到	c=16 d=1.10758e-55 t=1393466
tiao de 	調的	c=1 d=0 t=1393466
tiao di 	調低	c=21 d=0.00440507 t=1393466
tiao du 	跳讀	c=1 d=0 t=1393466
tiao duo 	條多	c=2 d=5.21391e-45 t=1393466
tiao gao 	調高	c=23 d=1.58079e-05 t=1393466
tiao ge 	挑個	c=3 d=0 t=1393466
tiao guo 	調過	c=1 d=0 t=1393466
tiao guo 	跳過	c=88 d=0.701173 t=1393466
tiao guo qu 	跳過去	c=2 d=4.83541e-217 t=1393466
tiao guo yi xie 	跳過一些	c=1 d=0 t=1393466
tiao he 	調和	c=1 d=2.15265e-21 t=1393466
tiao he si 	調和四	c=2 d=1.10097e-14 t=1393466
tiao he zai na 	調和在哪	c=1 d=0 t=1393466
tiao huan 	條換	c=1 d=8.02884e-212 t=1393466
tiao hui 	跳回	c=4 d=7.99527e-104 t=1393466
tiao ji 	調劑	c=4 d=5.77816e-48 t=1393466
tiao jia 	調價	c=3 d=2.05144e-71 t=1393466
tiao jian 	條件	c=339 d=0.181772 t=1393466
tiao jian ao 	條件奧	c=1 d=0 t=1393466
tiao jian de hua 	條件的話	c=1 d=0 t=1393466
tiao jian shai xuan 	條件篩選	c=1 d=5.64834e-16 t=1393466
tiao jian shi 	條件式	c=2 d=6.05215e-93 t=1393466
tiao jian xia 	條件下	c=6 d=7.1444e-45 t=1393466
tiao jiao 	調教	c=7 d=3.46209e-22 t=1393466
tiao jie 	調節	c=32 d=3.36331e-05 t=1393466
tiao jie 	調解	c=3 d=5.3082e-159 t=1393466
tiao jin 	跳進	c=1 d=5.02585e-54 t=1393466
tiao kan 	調侃	c=3 d=2.8463e-12 t=1393466
tiao kong 	調控	c=12 d=0 t=1393466
tiao kuan 	條款	c=26 d=2.01547e-10 t=1393466
tiao lai 	調來	c=1 d=1.55366e-66 t=1393466
tiao lai 	跳來	c=1 d=0 t=1393466
tiao lai tiao qu 	跳來跳去	c=4 d=2.78633e-103 t=1393466
tiao le 	挑了	c=11 d=0.0769192 t=1393466
tiao le 	調了	c=4 d=1.84828e-50 t=1393466
tiao le ge 	挑了個	c=1 d=6.96384e-273 t=1393466
tiao le yi kuai 	挑了一塊	c=1 d=1 t=1337512
tiao li 	條例	c=13 d=1.34844e-17 t=1393466
tiao li 	條理	c=3 d=0 t=1393466
tiao liao 	調料	c=13 d=4.99143e-32 t=1393466
tiao liu 	調流	c=1 d=0 t=1393466
tiao lou 	跳樓	c=4 d=4.06582e-106 t=1393466
tiao lu 	條路	c=0 d=6.98797e-109 t=1393466
tiao mu 	條目	c=31 d=0.0012104 t=1393466
tiao piao 	跳票	c=3 d=3.11637e-49 t=1393466
tiao qi lai 	跳起來	c=1 d=2.44229e-152 t=1393466
tiao qu 	調去	c=1 d=1.56145e-66 t=1393466
tiao qu 	跳去	c=1 d=0 t=1393466
tiao shang qu 	跳上去	c=1 d=0 t=1393466
tiao shi 	挑食	c=1 d=2.61901e-121 t=1393466
tiao shi 	調試	c=444 d=0.450421 t=1393466
tiao shi de 	調試的	c=1 d=0 t=1393466
tiao shi fa 	調試發	c=1 d=1.5515e-79 t=1393466
tiao shi gong ju 	調試工具	c=3 d=3.53143e-20 t=1393466
tiao shi guo 	調試過	c=1 d=5.54827e-276 t=1393466
tiao shi ji 	調試即	c=1 d=1.7071e-27 t=1393466
tiao shi jie mian 	調試界面	c=1 d=7.82794e-208 t=1393466
tiao shi me 	調試麼	c=1 d=0 t=1393466
tiao shi nei cun 	調試內存	c=1 d=1.6606e-55 t=1393466
tiao shi qi 	調試其	c=1 d=8.16842e-62 t=1393466
tiao shi qi 	調試器	c=32 d=1.35469e-42 t=1393466
tiao shi qi 	調試起	c=2 d=1.79744e-16 t=1393466
tiao shi ri zhi 	調試日誌	c=1 d=6.51428e-282 t=1393466
tiao shi shi 	調試時	c=39 d=0.000126534 t=1393466
tiao shu 	條數	c=20 d=1.44971e-16 t=1393466
tiao tiao 	挑挑	c=1 d=1.43838e-247 t=1393466
tiao tiao 	跳跳	c=1 d=9.13532e-84 t=1393466
tiao tong 	調同	c=1 d=0 t=1393466
tiao wei 	調味	c=1 d=6.79602e-192 t=1393466
tiao wei ji 	調味劑	c=1 d=0 t=1393466
tiao wen 	條文	c=2 d=0 t=1393466
tiao wen 	條紋	c=2 d=0 t=1393466
tiao wen 	調溫	c=1 d=5.37474e-167 t=1393466
tiao wen ti 	調問題	c=1 d=3.96666e-05 t=1393466
tiao wu 	跳舞	c=6 d=3.87796e-33 t=1393466
tiao xi 	調戲	c=1 d=0 t=1393466
tiao xia 	跳下	c=1 d=3.96371e-55 t=1393466
tiao xia lai 	跳下來	c=1 d=2.8496e-55 t=1393466
tiao xia qu 	跳下去	c=1 d=0 t=1393466
tiao xiu 	調休	c=7 d=2.00079e-71 t=1393466
tiao xuan 	挑選	c=33 d=0.000397625 t=1393466
tiao yan 	挑眼	c=1 d=1 t=1387302
tiao yi tiao 	調一調	c=1 d=0 t=1393466
tiao yong 	調用	c=1 d=1.07922e-279 t=1393466
tiao you 	調優	c=7 d=1.75898e-29 t=1393466
tiao yu 	條魚	c=1 d=1.22386e-53 t=1393466
tiao yue 	跳躍	c=1 d=4.88261e-08 t=1393466
tiao zeng 	調增	c=1 d=0 t=1393466
tiao zhan 	挑戰	c=39 d=3.9272e-05 t=1393466
tiao zhan xing 	挑戰性	c=5 d=2.67491e-46 t=1393466
tiao zhe 	跳着	c=3 d=0 t=1393466
tiao zheng 	調整	c=756 d=0.644036 t=1393466
tiao zheng guo 	調整過	c=1 d=9.04471e-56 t=1393466
tiao zhi 	調製	c=2 d=3.60265e-49 t=1393466
tiao zhua 	調抓	c=1 d=0 t=1393466
tiao zhuan 	跳轉	c=45 d=4.32053e-06 t=1393466
tiao zhuan dao 	跳轉到	c=4 d=0 t=1393466
tiao zhuang 	條狀	c=0 d=0 t=1393466
tiao zhuang tu 	條狀圖	c=1 d=0 t=1393466
tiao zi 	條子	c=1 d=0 t=1393466
tie 	帖	c=1 d=0 t=1393466
tie 	貼	c=236 d=0.946485 t=1393466
tie 	鐵	c=13 d=1.44165e-68 t=1393466
tie ba 	貼吧	c=23 d=6.12939e-07 t=1393466
tie ba hua 	貼吧化	c=1 d=1 t=1343889
tie ban 	鐵板	c=4 d=0 t=1393466
tie ban shao 	鐵板燒	c=4 d=2.44044e-55 t=1393466
tie bi 	鐵壁	c=0 d=0 t=1393466
tie chu 	貼出	c=19 d=4.36272e-07 t=1393466
tie chu lai 	貼出來	c=8 d=0.00177315 t=1393466
tie chui 	鐵錘	c=1 d=9.28255e-125 t=1393466
tie cuo 	貼錯	c=1 d=0 t=1393466
tie dao 	貼到	c=7 d=1.38578e-103 t=1393466
tie dao 	鐵道	c=2 d=5.60071e-34 t=1393466
tie de 	貼的	c=1 d=0 t=1393466
tie dian 	貼點	c=2 d=7.68569e-110 t=1393466
tie ding 	鐵定	c=1 d=1.90361e-191 t=1393466
tie fan wan 	鐵飯碗	c=1 d=1.06344e-194 t=1393466
tie fen 	鐵粉	c=3 d=1.03085e-122 t=1393466
tie gan 	鐵桿	c=2 d=9.95392e-123 t=1393466
tie gan fen 	鐵桿粉	c=1 d=0 t=1393466
tie ge 	貼個	c=1 d=0 t=1393466
tie gui 	鐵軌	c=1 d=3.06824e-248 t=1393466
tie guo 	貼過	c=1 d=0 t=1393466
tie guo 	鐵鍋	c=1 d=0 t=1393466
tie guo lai 	貼過來	c=1 d=0 t=1393466
tie guo qu 	貼過去	c=1 d=0.136014 t=1393466
tie jia 	鐵甲	c=2 d=0.00206508 t=1393466
tie jia xiao bao 	鐵甲小寶	c=8 d=0.205076 t=1393466
tie jin 	貼近	c=13 d=5.70025e-07 t=1393466
tie jin qu 	貼進去	c=2 d=0 t=1393466
tie jin yu 	貼近於	c=1 d=5.72883e-06 t=1393466
tie kou 	鐵口	c=0 d=0 t=1393466
tie le 	貼了	c=8 d=3.45763e-95 t=1393466
tie le xin 	鐵了心	c=2 d=2.36542e-70 t=1393466
tie li 	鐵力	c=1 d=0 t=1393466
tie lu 	鐵路	c=47 d=1.34171e-17 t=1393466
tie lu ju 	鐵路局	c=2 d=0 t=1393466
tie lu tu 	鐵路圖	c=1 d=2.21847e-227 t=1393466
tie lu wang 	鐵路網	c=1 d=3.19788e-88 t=1393466
tie man 	貼滿	c=1 d=0 t=1393466
tie mo 	貼膜	c=3 d=5.70922e-142 t=1393466
tie pai 	貼牌	c=1 d=0 t=1393466
tie pian 	貼片	c=1 d=1.76533e-98 t=1393466
tie qie 	貼切	c=1 d=0 t=1393466
